Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
January,45,Entrepreneur,118248.6,10115.05,5,1,4,0,13,10,3.69,4.0,Good,191.09,2914953014605080,17 Years and 1 Months,NM,0.0,2276187415383290,High_spent_Large_value_payments,10238900000000000,Good
February,45,Entrepreneur,118248.6,10115.05,5,1,4,0,13,10,3.69,4.0,_,191.09,3434487101675110,17 Years and 2 Months,No,0.0,33876421705530500,Low_spent_Large_value_payments,9427410000000000,Standard
March,45,Entrepreneur,118248.6,10115.05,5,1,4,0,13,7,-31.000.000.000.000.000,4.0,Good,191.09,32682061672009600,17 Years and 3 Months,No,0.0,5458997341448640,Low_spent_Small_value_payments,7556050000000000,Good
April,45,Entrepreneur,118248.6,10115.05,5,1,4,0,13,7,3.69,4.0,Good,191.09,4424642052786650,17 Years and 4 Months,No,0.0,__10000__,High_spent_Medium_value_payments,11421500000000000,Good
May,45,Entrepreneur,118248.6,,5,1,4,0,13,10,3.69,8.0,Good,191.09,29324352843953600,17 Years and 5 Months,NM,0.0,6705779060877210,High_spent_Small_value_payments,6009270000000000,Standard
June,45,nan,118248.6,10115.05,5,1,4,0,13,10,3.69,8.0,Good,191.09,4396183939335780,17 Years and 6 Months,No,0.0,3246255705491210,High_spent_Medium_value_payments,9368790000000000,Good
July,45,Entrepreneur,118248.6,10115.05,5,1,4,0,13,,4.69,8.0,Good,191.09,33223809624687100,17 Years and 7 Months,No,0.0,5094292024207010,Low_spent_Medium_value_payments,7820760000000000,Good
August,45,Entrepreneur,118248.6,10115.05,5,1,4,0,18,13,3.69,8.0,Good,191.09,29427164843543900,17 Years and 8 Months,NM,0.0,6144651135333020,Low_spent_Small_value_payments,6870400000000000,Good
January,26,Scientist,60162.1,5197508333333330,5,7,5,7,18,10,14.79,7.0,Standard,1037.45,3635924551524060,13 Years and 2 Months,Yes,2202137267039480,8001264638361240,High_spent_Medium_value_payments,4695240000000000,Standard
February,26,Scientist,60162.1,5197508333333330,5,7,5,7,18,10,14.79,7.0,Standard,1037.45,33183942270673400,13 Years and 3 Months,Yes,2202137267039480,15344754019420400,High_spent_Medium_value_payments,3960900000000000,Standard
March,26,Scientist,60162.1,5197508333333330,5,7,2607,-100,18,10,18.79,7.0,Standard,1037.45,3091438851910950,13 Years and 4 Months,Yes,2202137267039480,18455314853714000,High_spent_Medium_value_payments,36498400000000000,Standard
April,26,Scientist,60162.1,,5,7,5,7,18,12,14.79,9.0,Standard,1037.45,2764121029931030,13 Years and 5 Months,Yes,2202137267039480,35638582469502100,Low_spent_Large_value_payments,21315100000000000,Standard
May,26,Scientist,60162.1,5197508333333330,5,7,5,7,17,10,14.79,9.0,_,1037.45,3216686073322200,13 Years and 6 Months,Yes,2202137267039480,9684467310163110,High_spent_Medium_value_payments,45269200000000000,Standard
June,26,Scientist,60162.1,5197508333333330,5,7,5,7,18,11,14.79,9.0,Standard,1037.45,2873291734995420,NA,Yes,2202137267039480,45056017807702900,Low_spent_Large_value_payments,11897700000000000,Standard
July,26,Scientist,60162.1,5197508333333330,5,7,5,7,18,13,14.79,9.0,Standard,1037.45,2552559353587380,13 Years and 8 Months,Yes,2202137267039480,__10000__,High_spent_Large_value_payments,4518140000000000,Standard
August,26,nan,60162.1,5197508333333330,5,7,5,7,18,10,12.79,9.0,Standard,1037.45,32078618877289,13 Years and 9 Months,Yes,50812.0,23176646742375200,Low_spent_Medium_value_payments,34777100000000000,Standard
January,17,Musician,75273.24,6552.77,8,943,32,5,50,9,12.8,6.0,_,2497.34,33594825065525800,5 Years and 2 Months,NM,2226190561215210,1246322882481760,High_spent_Large_value_payments,5480260000000000,Standard
February,17,Musician,75273.24_,6552.77,8,6,32,5,48,9,19.8,6.0,Standard,2497.34,24829671913467800,5 Years and 3 Months,Yes,2226190561215210,48208828418691600,Low_spent_Large_value_payments,2205700000000000,Poor
March,17,Musician,75273.24,6552.77,8,6,32,5,50,10,12.8,6.0,_,2497.34,391509823107296,5 Years and 4 Months,Yes,2226190561215210,16218886453458500,High_spent_Large_value_payments,510469079343893,Standard
April,18,Musician,75273.24,6552.77,8,6,32,5,50,10,12.8,6.0,_,2497.34,38052134418387200,5 Years and 5 Months,Yes,2226190561215210,17031515916376800,High_spent_Medium_value_payments,5123430000000000,Poor
May,18_,Musician,75273.24,6424022011446840,8,6,32,5,50,9,12.8,8.0,Standard,2497.34,35274640154405100,5 Years and 6 Months,NM,35136704467467800,14118791019032300,High_spent_Medium_value_payments,5414700000000000,Standard
June,18,Musician,75273.24,,8,6,32,5,50,9,12.8,8.0,Standard,2497.34,37908703320703900,5 Years and 7 Months,Yes,35136704467467800,766873108918622,High_spent_Large_value_payments,5959710000000000,Poor
July,18,Musician,75273.24,6424022011446840,8,6,32,5,50,10,17.8,8.0,Standard,2497.34,3304396325805380,5 Years and 8 Months,Yes,35136704467467800,731795426964801,High_spent_Medium_value_payments,6094780000000000,Poor
August,18,Musician,75273.24,,8,6,32,5,50,11,12.8,8.0,Standard,2497.34,3912441778394820,5 Years and 9 Months,Yes,35136704467467800,36949172024092200,Low_spent_Medium_value_payments,3431660000000000,Standard
January,18,Media_Manager,54820.89,42954075,8,7,28,6,36,20,18.42,8.0,Bad,4795.13,35802489136096400,2 Years and 11 Months,Yes,16948198431622000,4795857747498430,Low_spent_Small_value_payments,7047300000000000,Standard
February,18,Media_Manager,54820.89,,8,7,28,6,41,15,18.42,8.0,_,4795.13,3259131377959920,3 Years and 0 Months,Yes,16948198431622000,22987212230622600,Low_spent_Small_value_payments,32018700000000000,Standard
March,18,Media_Manager,54820.89,42954075,8,7,28,6,41,17,18.42,8.0,_,4795.13,2592375905288080,3 Years and 1 Months,Yes,16948198431622000,9222239677955720,High_spent_Medium_value_payments,4178360000000000,Standard
April,18,nan,54820.89,42954075,8,7,28,6,41,15,18.42,8.0,_,4795.13,3479256616908930,3 Years and 2 Months,Yes,16948198431622000,8726667315412580,High_spent_Large_value_payments,4127920000000000,Standard
May,18,Media_Manager,54820.89_,42954075,8,7,28,6,43,17,18.42,11.0,Bad,4795.13,2862435875246960,3 Years and 3 Months,Yes,16948198431622000,35955416280399100,Low_spent_Small_value_payments,19050500000000000,Standard
June,18,Media_Manager,54820.89,42954075,8,7,28,6,41,17,18.42,11.0,Bad,4795.13,3595384759319340,3 Years and 4 Months,Yes,16948198431622000,,!@9#%8,26037000000000000,Standard
July,18,Media_Manager,54820.89,42954075,8,7,28,6,41,17,18.42,11.0,Bad,4795.13,35959693338729500,3 Years and 5 Months,NM,16948198431622000,17713166897101900,High_spent_Medium_value_payments,33292700000000000,Standard
August,18,Media_Manager,54820.89,42954075,8,7,28,6,41,17,18.42,11.0,Bad,4795.13,2820185654687030,3 Years and 6 Months,Yes,16948198431622000,1188780758552010,High_spent_Medium_value_payments,39118100000000000,Standard
January,42,Entrepreneur,58674.66,4824555,8,5,15,4,57,23,2.29,,_,2425.38,37340891999840900,13 Years and 1 Months,Yes,11610341691461600,12137983046452100,!@9#%8,4849720000000000,Poor
February,42,Entrepreneur,58674.66,4824555,8,5,15,4,57,23,1.29,11.0,_,2425.38,25167424965839300,13 Years and 2 Months,Yes,39347.0,26273329583597700,Low_spent_Small_value_payments,39361900000000000,Poor
March,42,Entrepreneur,58674.66_,4824555,8,5,15,4,59,23,6.29,11.0,Bad,2425.38,364907283314704,13 Years and 3 Months,Yes,11610341691461600,18254649061023100,Low_spent_Medium_value_payments,46380600000000000,Poor
April,42,Entrepreneur,58674.66,4824555,8,5,15,4,57,,1.29,11.0,Bad,2425.38,2482077381934010,13 Years and 4 Months,Yes,11610341691461600,6922823274816860,High_spent_Large_value_payments,5371240000000000,Standard
May,42,Entrepreneur,58674.66,4824555,8,5,15,4,57,23,1.29,11.0,Bad,2425.38,3414221724023840,13 Years and 5 Months,Yes,3864.0,11339590151241100,High_spent_Large_value_payments,4929560000000000,Standard
June,42,Entrepreneur,58674.66,4824555,8,5,15,4,57,25,1.29,11.0,Bad,2425.38,34990813267319400,13 Years and 6 Months,Yes,11610341691461600,6287091521225690,Low_spent_Small_value_payments,27642900000000000,Standard
July,42,Entrepreneur,58674.66,4824555,8,5,15,4,62,,3.29,11.0,_,2425.38,3704101847126560,13 Years and 7 Months,Yes,11610341691461600,25048283990911200,Low_spent_Medium_value_payments,3958690000000000,Poor
August,4431,Entrepreneur,58674.66,,8,5,15,4,55,23,1.29,11.0,_,2425.38,33808583730447600,13 Years and 8 Months,NM,11610341691461600,33426916451172700,Low_spent_Small_value_payments,3220830000000000,Poor
January,30,Architect,30390.44,27215366666666600,5,6,5,4,19,20,8.36,,Standard,580.31,2697596094691760,24 Years and 3 Months,No,6484803820501800,__10000__,High_spent_Medium_value_payments,40729400000000000,Standard
February,30,Architect,30390.44,,5,6,5,4,19,23,8.36,4.0,Standard,580.31,3355567403668100,24 Years and 4 Months,No,6484803820501800,14961343969134400,Low_spent_Large_value_payments,3276920000000000,Standard
March,30,Architect,30390.44,27215366666666600,5,6,5,4,19,18,8.36,4.0,Standard,580.31,35832413001799800,24 Years and 5 Months,No,6484803820501800,__10000__,High_spent_Small_value_payments,3274440000000000,Standard
April,30,Architect,30390.44,27215366666666600,5,6,5,4,19,17,8.36,4.0,Standard,580.31,34533573446234700,24 Years and 6 Months,No,6484803820501800,60914596654285300,High_spent_Medium_value_payments,3963910000000000,Standard
May,30,Architect,30390.44_,27215366666666600,5,6,5,4,15,18,8.36,4.0,Standard,580.31,380015651872014,24 Years and 7 Months,No,64504.0,16987637431078400,Low_spent_Large_value_payments,30742900000000000,Standard
June,30,Architect,30390.44_,27215366666666600,5,6,5,4,16,20,8.36,4.0,Standard,580.31,31075040710491700,24 Years and 8 Months,No,6484803820501800,22591978806792700,Low_spent_Small_value_payments,27138600000000000,Standard
July,30,Architect,30390.44,,5,6,5,4,19,21,13.36,4.0,_,580.31,26542896750665000,24 Years and 9 Months,No,6484803820501800,6878610896685810,High_spent_Large_value_payments,37852000000000000,Standard
August,30,Architect,30390.44,27215366666666600,5,6,5,4,19,20,8.36,4.0,Standard,580.31,22960527669460900,NA,No,6484803820501800,12793517796334300,Low_spent_Small_value_payments,369370450498305,Standard
January,42,Doctor,45207.54,3507295,8,8,24,6,21,20,9.78,9.0,Bad,2497.48,26631719742034100,16 Years and 4 Months,Yes,14891327341500900,3983022939385760,!@9#%8,4019860000000000,Poor
February,42,Doctor,45207.54,3507295,8,8,24,6,24,22,9.78,9.0,Bad,2497.48,33888564258817300,16 Years and 5 Months,Yes,14891327341500900,3757330661562450,Low_spent_Small_value_payments,11608300000000000,Poor
March,42,Doctor,45207.54,,8,8,24,6,26,21,47.799.999.999.999.900,9.0,Bad,2497.48,24301770515763500,16 Years and 6 Months,Yes,14891327341500900,__10000__,High_spent_Medium_value_payments,40713400000000000,Poor
April,42,nan,45207.54,3507295,8,8,24,6,21,20,9.78,9.0,Bad,2497.48,29575344807598200,16 Years and 7 Months,Yes,14891327341500900,1310961680113010,High_spent_Medium_value_payments,3207200000000000,Poor
May,43,Doctor,45207.54,3507295,8,8,24,6,25,20,9.78,9.0,Bad,2497.48,28943039154220400,16 Years and 8 Months,Yes,14891327341500900,11908709838739000,Low_spent_Medium_value_payments,36272900000000000,Poor
June,43,nan,45207.54,3507295,8,8,24,6,24,23,9.78,9.0,Bad,2497.48,22505201053392200,16 Years and 9 Months,Yes,14891327341500900,55563679348528300,High_spent_Medium_value_payments,39625300000000000,Poor
July,43,Doctor,45207.54,,8,8,24,6,22,20,9.78,9.0,Bad,2497.48,2869336878917940,16 Years and 10 Months,Yes,14891327341500900,15486275853516400,High_spent_Small_value_payments,3069530000000000,Poor
August,43,Doctor,45207.54,3507295,8,8,2724,6,24,20,9.78,13.0,Bad,2497.48,2509430322022670,16 Years and 11 Months,Yes,14891327341500900,3319257292023160,!@9#%8,15989000000000000,Poor
January,-500,Scientist,144546.72,11809.56,0,3,7,2,15,7,06.08,1.0,Good,1045.11,4084068721130880,22 Years and 11 Months,No,1369885566187900,5734115904774250,High_spent_Small_value_payments,7305560000000000,Standard
February,18,Scientist,144546.72_,11809.56,0,3,7,2,15,,06.08,1.0,Good,1045.11,3633873577684550,23 Years and 0 Months,No,1369885566187900,,High_spent_Large_value_payments,10269200000000000,Standard
March,18,Scientist,144546.72,11809.56,0,3,7,2,15,8,12.08,1.0,Good,1045.11,43611093896994800,NA,No,1369885566187900,1039012093399200,High_spent_Large_value_payments,11800700000000000,Standard
April,18,Scientist,144546.72,11809.56,0,3,7,2,15,,06.08,1.0,_,1045.11,31337679679021400,23 Years and 2 Months,No,1369885566187900,20547486805859800,High_spent_Large_value_payments,10784900000000000,Standard
May,18_,Scientist,19257912.0,11809.56,0,3,7,2,14,7,06.08,1.0,Good,1045.11,3920382495376740,23 Years and 3 Months,No,1369885566187900,__10000__,Low_spent_Small_value_payments,14118700000000000,Good
June,18,Scientist,144546.72,10653043107889900,0,3,7,2,15,7,06.08,1.0,Good,1045.11,3716404251360910,23 Years and 4 Months,No,12935054487288100,4151834125230340,High_spent_Medium_value_payments,8787840000000000,Good
July,18,Scientist,144546.72,10653043107889900,0,3,7,2,14,5,06.08,1.0,_,1045.11,2551813893799730,23 Years and 5 Months,No,12935054487288100,8933631575106700,Low_spent_Medium_value_payments,4306040000000000,Good
August,18,Scientist,144546.72,,0,3,7,2,13,7,06.08,1.0,_,1045.11,4521691024099080,23 Years and 6 Months,No,12935054487288100,22650893584179900,!@9#%8,10574600000000000,Good
January,38,Engineer,30346.35,26518625,5,4,14,7_,27,9,18.8,5.0,Standard,523.56,2821235655923920,8 Years and 4 Months,Yes,9672128021256920,14510837488507700,Low_spent_Small_value_payments,31335700000000000,Standard
February,39,Engineer,30346.35,26518625,5,4,14,7,29,9,18.8,5.0,Standard,523.56,3028018465928140,8 Years and 5 Months,Yes,9672128021256920,3324861615608290,Low_spent_Small_value_payments,12597900000000000,Standard
March,2657,Engineer,30346.35,26518625,5,4,14,7,29,9,25.8,5.0,Standard,523.56,3894962887996230,8 Years and 6 Months,Yes,9672128021256920,10629922675029400,Low_spent_Medium_value_payments,3421660000000000,Standard
April,39,nan,30346.35,26518625,5,4,14,7,24,9,18.8,5.0,_,523.56,3050811573794520,8 Years and 7 Months,NM,9672128021256920,9862135851365710,High_spent_Medium_value_payments,31984400000000000,Standard
May,39,Engineer,30346.35,26518625,5,4,14,7,29,9,18.8,5.0,_,523.56,32909754381380400,8 Years and 8 Months,Yes,57516.0,10644857495286000,!@9#%8,3220160000000000,Standard
June,39,Engineer,30346.35,26518625,5,4,14,7,27,6,18.8,5.0,_,523.56,2878678914670390,NA,Yes,9672128021256920,15160960007441000,Low_spent_Small_value_payments,30685500000000000,Standard
July,39,Engineer,30346.35,26518625,5,4,14,7,26,9,23.8,5.0,Standard,523.56,4039063355179520,8 Years and 10 Months,Yes,9672128021256920,9962847379534050,!@9#%8,34883600000000000,Standard
August,39,Engineer,30346.35_,,5,4,14,7,29,6,18.8,5.0,Standard,523.56,2631347755979620,8 Years and 11 Months,Yes,9672128021256920,29045193182720000,High_spent_Medium_value_payments,3894200000000000,Standard
January,46,Mechanic,"18.681.465,00",158478875,2,3,9,2,6,8,3.9,1.0,Good,327.88,27531342922886000,30 Years and 9 Months,No,24821424978660300,5209642061214280,!@9#%8,35156100000000000,Standard
February,2111_,Mechanic,"18.681.465,00",158478875,2,3,9,2,6,5,3.9,1.0,_,327.88,38901249707505700,30 Years and 10 Months,NM,24821424978660300,14065475582933400,Low_spent_Small_value_payments,2830030000000000,Good
March,46_,Mechanic,"18.681.465,00",158478875,2,3,9,2,6,8,7.9,3.0,Good,327.88,27377759194277800,30 Years and 11 Months,No,24821424978660300,5533162201252640,High_spent_Small_value_payments,3383260000000000,Good
April,46,Mechanic,"18.681.465,00",,2,3,9,2,6,,3.9,3.0,Good,327.88,24188798668584400,31 Years and 0 Months,No,24821424978660300,9057533568235740,Low_spent_Small_value_payments,3330820000000000,Standard
May,47,Mechanic,"18.681.465,00",,2,3,9,2,6,,3.9,3.0,Good,327.88,3186689251683870,31 Years and 1 Months,No,57523.0,7779346467816260,Low_spent_Small_value_payments,34586400000000000,Good
June,47,Mechanic,"18.681.465,00",158478875,2,3,9,2,6,8,3.9,3.0,Good,327.88,301279341810923,31 Years and 2 Months,No,24821424978660300,13110743136537000,Low_spent_Large_value_payments,272550018655969,Good
July,47,Mechanic,"18.681.465,00",158478875,2,3,9,2,6,8,3.9,3.0,Good,327.88,37455203153401900,31 Years and 3 Months,No,24821424978660300,3294987664874930,High_spent_Small_value_payments,36070800000000000,Good
August,47,Mechanic,"18.681.465,00",158478875,2,3,9,2,6,6,3.9,3.0,Good,327.88,39538108644227600,31 Years and 4 Months,No,24821424978660300,__10000__,Low_spent_Small_value_payments,20955800000000000,Good
January,41,Scientist,9841.34,6901116666666660,8,9,31,5,61,16,29.52,8.0,_,4984.82,27334689802194800,4 Years and 5 Months,Yes,3667512791916930,,Low_spent_Large_value_payments,26300300000000000,Standard
February,41,Scientist,9841.34,6901116666666660,8,9,31,5,65,15,29.52,8.0,Bad,4984.82,3345980290191770,4 Years and 6 Months,NM,3667512791916930,5592433093901890,Low_spent_Medium_value_payments,2564120000000000,Standard
March,41,nan,9841.34,6901116666666660,8,9,31,5,61,15,31.52,8.0,Bad,4984.82,3525175449856160,4 Years and 7 Months,Yes,3667512791916930,,!@9#%8,2594710000000000,Standard
April,42,Scientist,9841.34,6901116666666660,8,9,31,5,61,15,29.52,8.0,Bad,4984.82,38768490895644800,4 Years and 8 Months,Yes,3667512791916930,22701739120764200,Low_spent_Large_value_payments,2796340000000000,Standard
May,42,Scientist,9841.34,6901116666666660,8,9,31,5,61,13,29.52,8.0,_,4984.82,2849691823536410,4 Years and 9 Months,Yes,3667512791916930,3794400951622140,High_spent_Small_value_payments,2543920000000000,Standard
June,42,Scientist,9841.34,,8,9,31,5,61,15,29.52,10.0,Bad,4984.82,3405642405385580,4 Years and 10 Months,Yes,35788.0,7472478200014820,Low_spent_Small_value_payments,2476110000000000,Standard
July,42,Scientist,9841.34,6901116666666660,8,9,31,5_,61,15,29.52,10.0,Bad,4984.82,3768244006852630,4 Years and 11 Months,Yes,3667512791916930,57486481049133600,Low_spent_Medium_value_payments,2548500000000000,Standard
August,42,Scientist,9841.34,6901116666666660,8,9,31,5_,61,15,29.52,10.0,_,4984.82,3782197102652430,5 Years and 0 Months,Yes,3667512791916930,2040645221387880,High_spent_Small_value_payments,27193000000000000,Standard
January,35,Media_Manager,72330.98,6300581666666660,0,262,11,1,1,7,4.62,1.0,Good,596.78,31873841746849900,32 Years and 8 Months,No,3137979415843870,3905462005003150,Low_spent_Medium_value_payments,4881320000000000,Good
February,35,Media_Manager,72330.98,6300581666666660,0,3,11,1,2,6,4.62,1.0,Good,596.78,3236779297247520,32 Years and 9 Months,No,3137979415843870,17174353317565600,High_spent_Medium_value_payments,6769350000000000,Good
March,35,Media_Manager,72330.98_,6300581666666660,0,3,11,1,1,6,_,1.0,Good,596.78,2724102190552450,32 Years and 10 Months,No,3137979415843870,11006710874271400,High_spent_Large_value_payments,7286110000000000,Good
April,35,Media_Manager,72330.98,6300581666666660,0,3,11,1,2,6,4.62,1.0,Good,596.78,3015846394132900,32 Years and 11 Months,No,3137979415843870,7016599477029930,!@9#%8,18701800000000000,Good
May,35_,Media_Manager,72330.98,6300581666666660,0,3,11,1,1,6,4.62,1.0,Good,596.78,3960218492847600,33 Years and 0 Months,No,3137979415843870,33922892111880600,High_spent_Small_value_payments,5194490000000000,Good
June,35,nan,72330.98,6300581666666660,0,3,11,1,5,,4.62,1.0,_,596.78,3341197557594280,33 Years and 1 Months,No,35022.0,48328753294668200,High_spent_Large_value_payments,7903500000000000,Good
July,35,Media_Manager,72330.98,6300581666666660,0,3,11,1,1,6,4.62,1.0,Good,596.78,4198152541338180,33 Years and 2 Months,No,44834.0,14702511766105600,High_spent_Large_value_payments,6916530000000000,Standard
August,35,Media_Manager,72330.98,6300581666666660,0,3,11,1,1,6,4.62,1.0,Good,596.78,2483928334598330,33 Years and 3 Months,No,3137979415843870,30122251829285400,Low_spent_Large_value_payments,5674560000000000,Good
January,1032,Teacher,43241.49,35804575,10,7,30,6,36,17,8.47,10.0,Bad,2174.16,3978232873796410,12 Years and 2 Months,Yes,16223896307011900,41019024914620000,Low_spent_Small_value_payments,7561650000000000,Standard
February,15,Teacher,43241.49,35804575,10,7,30,6,36,19,8.47,10.0,_,2174.16,3262468105786620,12 Years and 3 Months,Yes,16223896307011900,724725253518681,High_spent_Small_value_payments,38333400000000000,Poor
March,15,Teacher,22335783.0,35804575,10,7,30,6,36,17,8.47,10.0,Bad,2174.16,3735140672600480,NA,Yes,16223896307011900,2303893890806380,Low_spent_Small_value_payments,25541700000000000,Standard
April,16,Teacher,43241.49,,10,7,30,6,33,17,74.700.000.000.000.000,10.0,Bad,2174.16,2440758994734850,12 Years and 5 Months,Yes,16223896307011900,17935592336274400,!@9#%8,28645100000000000,Poor
May,16,Teacher,43241.49_,35804575,10,7,30,6,32,17,8.47,10.0,Bad,2174.16,31247734727743300,12 Years and 6 Months,Yes,16223896307011900,6359658328530960,!@9#%8,3722100000000000,Poor
June,16_,Teacher,43241.49,35804575,10,7,30,6,32,17,_,10.0,Bad,2174.16,32182006333223900,12 Years and 7 Months,Yes,16223896307011900,13412459927032700,Low_spent_Small_value_payments,35168200000000000,Poor
July,16,Teacher,43241.49,3282269196467350,10,7,30,6,36,14,8.47,10.0,Bad,2174.16,27934844785050900,12 Years and 8 Months,Yes,4604272666027640,5083162520163430,High_spent_Medium_value_payments,3949750000000000,Standard
August,16,Teacher,43241.49,3282269196467350,10,7,30,6,36,17,8.47,10.0,Bad,2174.16,3059762389415990,12 Years and 9 Months,Yes,4604272666027640,9460039479976260,High_spent_Medium_value_payments,35120600000000000,Standard
January,19,nan,34106.78,2767231666666660,8,5,17,0,8,,10.06,0.0,Standard,996.54,31063920820264200,31 Years and 11 Months,Yes,0.0,11515173734729600,Low_spent_Small_value_payments,4515710000000000,Standard
February,19,nan,34106.78,2767231666666660,8,5,1224,0,8,10,10.06,0.0,Standard,996.54,3862751708778440,32 Years and 0 Months,Yes,0.0,24071903173565900,High_spent_Large_value_payments,49265100000000000,Standard
March,19_,Mechanic,34106.78,2767231666666660,8,5,17,0,8,10,10.06,0.0,_,996.54,23332481617603500,32 Years and 1 Months,Yes,0.0,1358018888356470,Low_spent_Large_value_payments,41092100000000000,Standard
April,19,nan,34106.78,2767231666666660,8,5,17,0,8,10,10.06,0.0,Standard,996.54,4079135175718470,32 Years and 2 Months,Yes,0.0,21636543589675800,Low_spent_Large_value_payments,33035800000000000,Standard
May,19,Mechanic,34106.78,2767231666666660,8,5,17,0_,8,10,10.06,0.0,Standard,996.54,25343902182171700,32 Years and 3 Months,Yes,0.0,3380036514928920,Low_spent_Small_value_payments,22872000000000000,Standard
June,19_,Mechanic,34106.78,2767231666666660,8,5,17,0,8,10,70.600.000.000.000.000,0.0,Standard,996.54,3949437696715390,32 Years and 4 Months,Yes,0.0,11867437531471800,Low_spent_Small_value_payments,44804900000000000,Standard
July,19,Mechanic,34106.78,2767231666666660,8,5,17,0,11,10,10.06,0.0,_,996.54,33751235037448500,32 Years and 5 Months,Yes,0.0,12934682924912700,High_spent_Small_value_payments,4073760000000000,Good
August,19,Mechanic,34106.78,,8,5,17,0_,8,10_,10.06,0.0,Standard,996.54,30454879370908300,32 Years and 6 Months,Yes,0.0,7787534431690650,High_spent_Medium_value_payments,44884800000000000,Good
January,24,Teacher,129067.59,107956325,1,3,1,4_,9,5,1.54,0.0,Good,137.15,2449869172989600,26 Years and 7 Months,No,3893056724525220,21521748793274500,High_spent_Large_value_payments,7150400000000000,Good
February,24,Teacher,16367214.0,107956325,1,3,1,4,9,7,4.54,,Good,137.15,30729060603907200,26 Years and 8 Months,No,3893056724525220,5112114299296350,Low_spent_Medium_value_payments,4590460000000000,Standard
March,24,Teacher,129067.59,107956325,1,3,1,4,9,5,4.54,0.0,_,137.15,330197899583357,26 Years and 9 Months,No,3893056724525220,12626900744899400,High_spent_Large_value_payments,8039890000000000,Good
April,25,Teacher,129067.59,107956325,1,3,1,4,9,5,4.54,0.0,Good,137.15,3318586939796400,NA,No,3893056724525220,__10000__,Low_spent_Medium_value_payments,40489000000000000,Good
May,25,Teacher,129067.59,,1,3,1,4,9,6,4.54,0.0,Good,137.15,3267772556573560,26 Years and 11 Months,NM,3893056724525220,11201452602775000,High_spent_Large_value_payments,8182430000000000,Good
June,25,Teacher,129067.59,,1,3,1,-100,9,5,4.54,0.0,Good,137.15,2843760664801640,27 Years and 0 Months,No,3893056724525220,2647400105652320,High_spent_Large_value_payments,6655180000000000,Good
July,25,Teacher,129067.59,107956325,1,3,1,4_,9,5,4.54,0.0,Good,137.15,25154469839389400,27 Years and 1 Months,No,3893056724525220,7178975298624590,High_spent_Small_value_payments,2323600000000000,Good
August,25,Teacher,129067.59,107956325,1,3,1,4,7,5,4.54,0.0,Good,137.15,39451123239899400,NA,No,3893056724525220,2493614828062850,High_spent_Large_value_payments,6808960000000000,Good
January,34,Architect,17001.34,12147783333333300,6,5,5,1,11,20,5.62,0.0,Standard,1093.87,31555540389733300,NA,No,10535555607461200,97555513512813,Low_spent_Medium_value_payments,2933870000000000,Standard
February,34,Architect,17001.34,12147783333333300,6,5,5,1,10,,5.62,0.0,Standard,1093.87,23069868265818200,17 Years and 3 Months,No,10535555607461200,__10000__,Low_spent_Large_value_payments,3335980000000000,Standard
March,34,Architect,17001.34,12147783333333300,6,5,5,1,11,20,5.62,0.0,Standard,1093.87,25894834158418300,17 Years and 4 Months,No,10535555607461200,12097121961577100,Low_spent_Medium_value_payments,2699710000000000,Standard
April,34,Architect,17001.34,12147783333333300,6,5,5,1,10,18,12.62,0.0,Standard,1093.87,28633440772280400,17 Years and 5 Months,NM,10535555607461200,5190518470263,Low_spent_Small_value_payments,3490370000000000,Poor
May,34,Architect,17001.34,12147783333333300,6,5,5,1,10,20,5.62,0.0,_,1093.87,25681026727453800,17 Years and 6 Months,No,12371.0,,Low_spent_Small_value_payments,24350300000000000,Poor
June,34,Architect,17001.34,12147783333333300,6,5,5,1,7,20,5.62,0.0,_,1093.87,3606466979017770,17 Years and 7 Months,No,10535555607461200,5124574814599030,Low_spent_Small_value_payments,34969700000000000,Standard
July,34,Architect,17001.34,12147783333333300,6,5,5,1,10,21,5.62,2.0,Standard,1093.87,25359340485549800,17 Years and 8 Months,No,10535555607461200,5059241299418770,High_spent_Medium_value_payments,31035000000000000,Standard
August,34,Architect,17001.34,12147783333333300,6,5,5,1,5,20,5.62,2.0,Standard,1093.87,3503187221946180,17 Years and 9 Months,No,10535555607461200,9929445779179590,Low_spent_Small_value_payments,3016480000000000,Standard
January,21,Accountant,44719.17,39695975,6,6,29,7,41,19,23.21,11.0,Bad,3818.57_,3098237347875770,12 Years and 11 Months,Yes,24859988585543700,13025122507434900,High_spent_Medium_value_payments,2681090000000000,Poor
February,21,Accountant,44719.17,39695975,6,6,29,7,39,20,29.21,11.0,Bad,3818.57,3086937293853870,13 Years and 0 Months,NM,24859988585543700,16765605301285800,High_spent_Small_value_payments,2407040000000000,Poor
March,21,Accountant,44719.17,39695975,6,6,29,7,47,21,23.21,11.0,Bad,3818.57,27979750794526800,13 Years and 1 Months,NM,24859988585543700,,High_spent_Large_value_payments,28988800000000000,Poor
